,keep
hktv_ad_id,TRUE
membership_level,TRUE
order_number,TRUE
additional_parent_order,TRUE
order_date,TRUE
order_time_range,TRUE
delivery_date,TRUE
delivery_timeslot,TRUE
app_type,TRUE
device_type,TRUE
sales_application,TRUE
payment_gateway,TRUE
card_class,FALSE
card_issuer,FALSE
card_type,FALSE
area,TRUE
district,TRUE
delivery_district,FALSE
delivery_zone,FALSE
estate_name_en,FALSE
estate_name_chi,FALSE
housing_type,TRUE
order_value,TRUE
delivery_cost,FALSE
merchant_delivery_fee,FALSE
total_discounts,TRUE
credit_applied,TRUE
refund_amount,FALSE
refund_delivery_amount,FALSE
cash_voucher_code,TRUE
cash_voucher_value,FALSE
cash_voucher_applied_value,FALSE
paid_voucher_code,TRUE
paid_voucher_value,FALSE
paid_voucher_applied_value,FALSE
free_delivery_voucher,TRUE
free_delivery_applied_value,FALSE
campaign_code,FALSE
order_mall_level_discount_sum,FALSE
order_mall_level_promotion_codes,TRUE
order_mall_level_promotion_amounts,FALSE
order_redemption_promotion_codes,TRUE
order_redemption_promotion_amounts,FALSE
pos_order_number,FALSE
pos_payment_store_code,FALSE
takeaway_store,FALSE
pickup_store,FALSE
waybill_no,FALSE
consignment_entry_pk,FALSE
consignment_order,FALSE
product_id,FALSE
sku_id,FALSE
primary_sku_id,TRUE
bundle_set,TRUE
sku_name_en,FALSE
sku_name_chi,FALSE
brand_en,FALSE
brand_chi,FALSE
quantity,TRUE
total_price,TRUE
primary_category,FALSE
primary_category_name_en,TRUE
primary_category_name_chi,FALSE
sub_cat_1_name_en,TRUE
sub_cat_1_name_chi,FALSE
sub_cat_2_name_en,TRUE
sub_cat_2_name_chi,FALSE
sub_cat_3_name_en,TRUE
sub_cat_3_name_chi,FALSE
sub_cat_4_name_en,TRUE
sub_cat_4_name_chi,FALSE
primary_store,FALSE
store_id,TRUE
store_name_en,FALSE
store_name_chi,FALSE
virtual_store_id,FALSE
virtual_store_name_en,FALSE
virtual_store_name_chi,FALSE
loyalty_point_rate,FALSE
sku_level_promotion_type,FALSE
sku_level_promotion_code,TRUE
sku_level_promotion_amount,FALSE
store_level_promotion_type,FALSE
store_level_promotion_code,TRUE
store_level_promotion_amount,FALSE
store_discount_rate,FALSE
mall_level_promotion_type,FALSE
mall_level_promotion_code,TRUE
mall_level_promotion_amount,FALSE
gift_promotion_id,FALSE
rm_code,FALSE
delivery_mode,FALSE
delivery_information_en,TRUE
delivery_information_chi,FALSE
sku_warehouse_name,FALSE
is_consignment,TRUE
is_ecoupon,FALSE
sku_ready_required_days,FALSE
pickup_date,FALSE
packing_spec_en,FALSE
packing_spec_chi,FALSE
packing_box_type,TRUE
storage_type,TRUE
color,FALSE
size,FALSE
weight,TRUE
height,TRUE
length,TRUE
width,TRUE
manufacturer_country_en,TRUE
manufacturer_country_chi,FALSE
removal_service_requested,FALSE
